AudioID,AudioName,Explain,Explain1
1507,nan_san2_7,三个7带一对,三张牌播放
1508,nan_san2_8,三个8带一对,三张牌播放
1509,nan_san2_9,三个9带一对,三张牌播放
1510,nan_san2_10,三个10带一对,三张牌播放
1511,nan_san2_11,三个J带一对,三张牌播放
1512,nan_san2_12,三个Q带一对,三张牌播放
1513,nan_san2_13,三个K带一对,三张牌播放
1401,nan_gangban,钢板,组合AAABBB
1402,nan_3liandui,三联对,组合AABBCC从2个中随机一个
1403,nan_liandui,连队,组合AABBCC从2个中随机一个
1404,nan_tonghuashun,同花顺,组合同花顺
1405,nan_4wangzha,四大天王,组合4王炸
1406,nan_zhadan0,炸弹,组合炸弹从2个中随机一个
1407,nan_zhadan1,炸弹,组合炸弹从2个中随机一个
1408,nan_Shunzi,顺子,组合顺子播放
1409,nan_3dai2,三带二,组合三带一对播放
1410,nan_pass0,不要,不要牌从3个语音中随机播一个
1411,nan_pass1,过,不要牌从3个语音中随机播一个
1412,nan_pass2,要不起,不要牌从3个语音中随机播一个
1413,nan_yasi0,压死,跟牌时从4个语音中随机播放
1414,nan_yasi3,管上,跟牌时从4个语音中随机播放
1415,nan_yasi2,大上,跟牌时从4个语音中随机播放
1416,nan_yasi3,管上,跟牌时从4个语音中随机播放
24000,nv_Chat_0,大家好很高兴见到各位,预设聊天内容配音按钮0
24001,nv_Chat_5,怎么又断线了，网络怎么这么差啊,预设聊天内容配音按钮1
24002,nv_Chat_1,和你合作实在是太愉快了,预设聊天内容配音按钮2
24003,nv_Chat_2,快点吧，我等的花都谢了,预设聊天内容配音按钮3
24004,nv_Chat_6,各位真不好意思，我要离开一会,预设聊天内容配音按钮4
24005,nv_Chat_8,你是MM还是GG,预设聊天内容配音按钮5
24006,nv_Chat_3,你的牌打得也太好了,预设聊天内容配音按钮6
24007,nv_Chat_9,交个朋友把,预设聊天内容配音按钮7
24008,nv_Chat_10,再见了，我会想念大家的,预设聊天内容配音按钮8
24009,nv_Chat_7,不要走，决战到天亮,预设聊天内容配音按钮9
24010,nv_Chat_4,不要吵，专心玩游戏把,预设聊天内容配音按钮10
2001,GD_BG,背景音乐,游戏背景音乐
2002,GDJiesuan_lose,失败音乐,结算播放
2003,GDJiesuan_win,胜利音乐,结算播放
2004,Special_Dispatch,发牌,发牌时循环播放
2005,21_button_01,按钮,按钮音效
2006,doudizhu_pai,啪,牌打出去落下时播放
2007,Special_alert,报警声,出牌倒计时5秒播放
2008,texiao_CardRotate,不铃铃铃,特效——顺子连队特效时播放
2009,texiao_Bomb,爆炸,特效——炸弹音效
2010,,,
2011,,,
2099,nv_Joke_1,一个小王,单牌播放
2100,nv_Joke_2,一个大王,单牌播放
2101,nv_dan_1,一个A,单牌播放
2102,nv_dan_2,一个2,单牌播放
2103,nv_dan_3,一个3,单牌播放
2104,nv_dan_4,一个4,单牌播放
2105,nv_dan_5,一个5,单牌播放
2106,nv_dan_6,一个6,单牌播放
2107,nv_dan_7,一个7,单牌播放
2108,nv_dan_8,一个8,单牌播放
2109,nv_dan_9,一个9,单牌播放
2110,nv_dan_10,一个10,单牌播放
2111,nv_dan_11,一个J,单牌播放
2112,nv_dan_12,一个Q,单牌播放
2113,nv_dan_13,一个K,单牌播放
2199,nv_Jokedui_1,对小王,一对牌播放
2200,nv_Jokedui_2,对大王,一对牌播放
2201,nv_dui_1,对A,一对牌播放
2202,nv_dui_2,对2,一对牌播放
2203,nv_dui_3,对3,一对牌播放
2204,nv_dui_4,对4,一对牌播放
2205,nv_dui_5,对5,一对牌播放
2206,nv_dui_6,对6,一对牌播放
2207,nv_dui_7,对7,一对牌播放
2208,nv_dui_8,对8,一对牌播放
2209,nv_dui_9,对9,一对牌播放
2210,nv_dui_10,对10,一对牌播放
2211,nv_dui_11,对J,一对牌播放
2212,nv_dui_12,对Q,一对牌播放
2213,nv_dui_13,对K,一对牌播放
2301,nv_san_1,三个A,三张牌播放
2302,nv_san_2,三个2,三张牌播放
2303,nv_san_3,三个3,三张牌播放
2304,nv_san_4,三个4,三张牌播放
2305,nv_san_5,三个5,三张牌播放
2306,nv_san_6,三个6,三张牌播放
2307,nv_san_7,三个7,三张牌播放
2308,nv_san_8,三个8,三张牌播放
2309,nv_san_9,三个9,三张牌播放
2310,nv_san_10,三个10,三张牌播放
2311,nv_san_11,三个J,三张牌播放
2312,nv_san_12,三个Q,三张牌播放
2313,nv_san_13,三个K,三张牌播放
2501,nv_san2_1,三个A带一对,三张牌播放
2502,nv_san2_2,三个2带一对,三张牌播放
2503,nv_san2_3,三个3带一对,三张牌播放
2504,nv_san2_4,三个4带一对,三张牌播放
2505,nv_san2_5,三个5带一对,三张牌播放
2506,nv_san2_6,三个6带一对,三张牌播放
2507,nv_san2_7,三个7带一对,三张牌播放
2508,nv_san2_8,三个8带一对,三张牌播放
2509,nv_san2_9,三个9带一对,三张牌播放
2510,nv_san2_10,三个10带一对,三张牌播放
2511,nv_san2_11,三个J带一对,三张牌播放
2512,nv_san2_12,三个Q带一对,三张牌播放
2513,nv_san2_13,三个K带一对,三张牌播放
2401,nv_gangban,钢板,组合AAABBB
2402,nv_3liandui,三联对,组合AABBCC从2个中随机一个
2403,nv_liandui,连队,组合AABBCC从2个中随机一个
2404,nv_tonghuashun,同花顺,组合同花顺
2405,nv_4wangzha,四大天王,组合4王炸
2406,nv_zhadan0,炸弹,组合炸弹从2个中随机一个
2407,nv_zhadan1,炸弹,组合炸弹从2个中随机一个
2408,nv_Shunzi,顺子,组合顺子播放
2409,nv_3dai2,三带二,组合三带一对播放
2410,nv_pass0,不要,不要牌从3个语音中随机播一个
2411,nv_pass1,过,不要牌从3个语音中随机播一个
2412,nv_pass2,要不起,不要牌从3个语音中随机播一个
2413,nv_yasi0,压死,跟牌时从4个语音中随机播放
2414,nv_yasi3,管上,跟牌时从4个语音中随机播放
2415,nv_yasi2,大上,跟牌时从4个语音中随机播放
2416,nv_yasi3,管上,跟牌时从4个语音中随机播放
