AudioID,AudioName,Explain,Explain1
24004,nv_Chat_6,各位真不好意思，我要离开一会,预设聊天内容配音按钮4
24005,nv_Chat_8,你是MM还是GG,预设聊天内容配音按钮5
24006,nv_Chat_3,你的牌打得也太好了,预设聊天内容配音按钮6
24007,nv_Chat_9,交个朋友把,预设聊天内容配音按钮7
24008,nv_Chat_10,再见了，我会想念大家的,预设聊天内容配音按钮8
24009,nv_Chat_7,不要走，决战到天亮,预设聊天内容配音按钮9
24010,nv_Chat_4,不要吵，专心玩游戏把,预设聊天内容配音按钮10
2001,MusicEx_Welcome,背景音乐,大厅播放
2002,MusicEx_Normal,背景音乐,游戏背景音乐
2003,MusicEx_Normal2,背景音乐,游戏背景音乐剩余两张牌
2004,MusicEx_Exciting,炸弹后背景音乐,出炸弹后背景音乐换
2005,MusicEx_Lose,失败音乐,结算播放
2006,MusicEx_Win,胜利音乐,结算播放
2007,nv_ScoreNoOrder,不叫,叫分时播放
2008,nv_ScoreOrder1,一分,叫分时播放
2009,nv_ScoreOrder2,两分,叫分时播放
2010,nv_ScoreOrder3,三分,叫分时播放
2011,nv_Share,明牌,明牌时播放
2012,nv_14,小王,单牌播放
2013,nv_15,大王,单牌播放
2014,nv_1,A,单牌播放
2015,nv_2,2,单牌播放
2016,nv_3,3,单牌播放
2017,nv_4,4,单牌播放
2018,nv_5,5,单牌播放
2019,nv_6,6,单牌播放
2020,nv_7,7,单牌播放
2021,nv_8,8,单牌播放
2022,nv_9,9,单牌播放
2023,nv_10,10,单牌播放
2024,nv_11,J,单牌播放
2025,nv_12,Q,单牌播放
2026,nv_13,K,单牌播放
2027,nv_dui1,对A,一对牌播放
2028,nv_dui2,对2,一对牌播放
2029,nv_dui3,对3,一对牌播放
2030,nv_dui4,对4,一对牌播放
2031,nv_dui5,对5,一对牌播放
2032,nv_dui6,对6,一对牌播放
2033,nv_dui7,对7,一对牌播放
2034,nv_dui8,对8,一对牌播放
2035,nv_dui9,对9,一对牌播放
2036,nv_dui10,对10,一对牌播放
2037,nv_dui11,对J,一对牌播放
2038,nv_dui12,对Q,一对牌播放
2039,nv_dui13,对K,一对牌播放
2040,nv_tuple1,三个A,三张牌播放
2041,nv_tuple2,三个2,三张牌播放
2042,nv_tuple3,三个3,三张牌播放
2043,nv_tuple4,三个4,三张牌播放
2044,nv_tuple5,三个5,三张牌播放
2045,nv_tuple6,三个6,三张牌播放
2046,nv_tuple7,三个7,三张牌播放
2047,nv_tuple8,三个8,三张牌播放
2048,nv_tuple9,三个9,三张牌播放
2049,nv_tuple10,三个10,三张牌播放
2050,nv_tuple11,三个J,三张牌播放
2051,nv_tuple12,三个Q,三张牌播放
2052,nv_tuple13,三个K,三张牌播放
2053,nv_wangzha,王炸,组合王炸
2054,nv_zhadan,炸弹,组合炸弹
2055,nv_feiji,飞机,组合飞机播放
2056,nv_shunzi,顺子,组合顺子播放
2057,nv_liandui,连队,组合连对播放
2058,nv_sandaiyi,三带一,组合三带一播放
2059,nv_sandaiyidui,三带一对,组合三带一对播放
2060,nv_sidaier,四带二,组合四带二播放
2061,nv_sidailiangdui,四带两对,组合四带两对播放
2062,nv_buyao1,不要,不要牌从4个语音中随机播一个
2063,nv_buyao2,pass,不要牌从4个语音中随机播一个
2064,nv_buyao3,过,不要牌从4个语音中随机播一个
2065,nv_buyao4,要不起,不要牌从4个语音中随机播一个
2066,nv_dani1,大你,跟牌时从3个语音中随机播放
2067,nv_dani2,管上,跟牌时从3个语音中随机播放
2068,nv_dani3,压死,跟牌时从3个语音中随机播放
2080,nv_baojing1,我就一张牌了,报警剩余1张牌时播放
2081,nv_baojing2,我就两张牌了,报警剩余2张牌时播放

