PathID,Prefab,Speed,Time,Loop,offset,SpeedUp,comment,TimeOff,FishNum,Intervals
502,line_xiao4_02,0,0,0,0|0|0@-4|-3|0@-6|3|0,,大头鱼蓝,9.31,2,0
503,line_xiao4_03,0,0,0,0|0|0@-4|-3|0@-6|3|0,,大头鱼蓝,9.05,1,0
504,line_xiao4_04,0,0,0,0|0|0@-4|-3|0@-6|3|0,,大头鱼蓝,9.48,1,0
505,line_xiao4_01,0,0,0,,,大头鱼蓝,8.24,3,0.7
506,line_xiao4_02,0,0,0,,,大头鱼蓝,9.31,3,0.7
507,line_xiao4_03,0,0,0,,,大头鱼蓝,9.05,2,0.7
508,line_xiao4_04,0,0,0,,,大头鱼蓝,9.48,2,0.7
601,line_bian_01,0,0,0,,,鳊鱼,9.22,1,0
602,line_bian_02,0,0,0,,,鳊鱼,9.48,1,0
603,line_bian_03,0,0,0,,,鳊鱼,9.45,1,0
604,line_bian_04,0,0,0,,,鳊鱼,9.38,1,0
605,line_bian_05,0,0,0,,,鳊鱼,9.25,1,0
606,line_bian_06,0,0,0,,,鳊鱼,9.47,1,0
607,line_bian_07,0,0,0,,,鳊鱼,9.45,1,0
608,line_bian_08,0,0,0,,,鳊鱼,9.43,1,0
609,line_bian_09,0,0,0,,,鳊鱼,9.71,1,0
610,line_bian_10,0,0,0,,,鳊鱼,11.37,1,0
611,line_bian_11,0,0,0,,,鳊鱼,16.65,1,0
612,line_bian_12,0,0,0,,,鳊鱼,9.61,1,0
613,line_bian_13,0,0,0,,,鳊鱼,10.21,1,0
614,line_bian_14,0,0,0,,,鳊鱼,10.15,1,0
615,line_bian_15,0,0,0,,,鳊鱼,10.7,1,0
616,line_bian_16,0,0,0,,,鳊鱼,10.27,1,0
1201,line_zuhe_01,0,0,0,,,2小丑鱼,21.74,3,1
1202,line_zuhe_02,0,0,0,,,2小丑鱼,25.42,3,1
1203,line_zuhe_03,0,0,0,,,2小丑鱼,21.31,3,1
1301,line_hetun_01,0,0,0,,,3河豚,12.24,1,0
1302,line_hetun_02,0,0,0,,,3河豚,12.91,1,0
1303,line_hetun_03,0,0,0,,,3河豚,12.75,1,0
1304,line_hetun_04,0,0,0,,,3河豚,12.4,1,0
1305,line_hetun_05,0,0,0,,,3河豚,12.69,1,0
1306,line_hetun_06,0,0,0,,,3河豚,12.64,1,0
1307,line_hetun_07,0,0,0,,,3河豚,12.62,1,0
1308,line_hetun_08,0,0,0,,,3河豚,12.52,2,1
1309,line_hetun_09,0,0,0,,,3河豚,13.43,2,1
1310,line_hetun_10,0,0,0,,,3河豚,14.44,2,1
1311,line_hetun_11,0,0,0,,,3河豚,20.91,2,1
1312,line_hetun_12,0,0,0,,,3河豚,13.28,2,1
1313,line_hetun_13,0,0,0,,,3河豚,12.97,2,1
1314,line_hetun_14,0,0,0,,,3河豚,12.98,2,1
1315,line_hetun_15,0,0,0,,,3河豚,12.94,2,1
1316,line_hetun_16,0,0,0,,,3河豚,12.91,2,1
1401,line_01,0,0,0,,,泡泡黄鱼,10.79,1,0
1402,line_02,0,0,0,,,泡泡黄鱼,11.04,1,0
1403,line_03,0,0,0,,,泡泡黄鱼,11.03,1,0
1404,line_04,0,0,0,,,泡泡黄鱼,10.99,1,0
1405,line_05,0,0,0,,,泡泡黄鱼,10.79,1,0
1406,line_06,0,0,0,,,泡泡黄鱼,11.04,1,0
1407,line_07,0,0,0,,,泡泡黄鱼,11.03,1,0
1408,line_08,0,0,0,,,泡泡黄鱼,10.99,2,1
1409,line_09,0,0,0,,,泡泡黄鱼,12.44,2,1
1410,line_10,0,0,0,,,泡泡黄鱼,17.03,2,1
1411,line_11,0,0,0,,,泡泡黄鱼,30.12,2,1
1412,line_12,0,0,0,,,泡泡黄鱼,12.48,2,1
1413,line_13,0,0,0,,,泡泡黄鱼,18.26,2,1
1414,line_14,0,0,0,,,泡泡黄鱼,19.24,2,1
1415,line_15,0,0,0,,,泡泡黄鱼,18.3,2,1
1416,line_16,0,0,0,,,泡泡黄鱼,18.82,2,1
1501,line_01,0,0,0,,,灯笼鱼,10.79,1,0
1502,line_02,0,0,0,,,灯笼鱼,11.04,1,0
1503,line_03,0,0,0,,,灯笼鱼,11.03,1,0
1504,line_04,0,0,0,,,灯笼鱼,10.99,1,0
1505,line_05,0,0,0,,,灯笼鱼,10.79,1,0
1506,line_06,0,0,0,,,灯笼鱼,11.04,1,0
1507,line_07,0,0,0,,,灯笼鱼,11.03,1,0
1508,line_08,0,0,0,,,灯笼鱼,10.99,2,1
1509,line_09,0,0,0,,,灯笼鱼,12.44,2,1
1510,line_10,0,0,0,,,灯笼鱼,17.03,2,1
1511,line_11,0,0,0,,,灯笼鱼,30.12,2,1
1512,line_12,0,0,0,,,灯笼鱼,12.48,2,1
1513,line_13,0,0,0,,,灯笼鱼,18.26,2,1
1514,line_14,0,0,0,,,灯笼鱼,19.24,2,1
1515,line_15,0,0,0,,,灯笼鱼,18.3,2,1
1516,line_16,0,0,0,,,灯笼鱼,18.82,2,1
1601,line_01,0,0,0,,,炸弹鱼,10.79,1,0
1602,line_02,0,0,0,,,炸弹鱼,11.04,1,0
1603,line_03,0,0,0,,,炸弹鱼,11.03,1,0
1604,line_04,0,0,0,,,炸弹鱼,10.99,1,0
1605,line_05,0,0,0,,,炸弹鱼,10.79,1,0
1606,line_06,0,0,0,,,炸弹鱼,11.04,1,0
1607,line_07,0,0,0,,,炸弹鱼,11.03,1,0
1608,line_08,0,0,0,,,炸弹鱼,10.99,2,1
1609,line_09,0,0,0,,,炸弹鱼,12.44,2,1
1610,line_10,0,0,0,,,炸弹鱼,17.03,2,1
1611,line_11,0,0,0,,,炸弹鱼,30.12,2,1
1612,line_12,0,0,0,,,炸弹鱼,12.48,2,1
1613,line_13,0,0,0,,,炸弹鱼,18.26,2,1
1614,line_14,0,0,0,,,炸弹鱼,19.24,2,1
1615,line_15,0,0,0,,,炸弹鱼,18.3,2,1
1616,line_16,0,0,0,,,炸弹鱼,18.82,2,1
1701,line_Ice_01,0,0,0,,,9冰鱼,12.09,1,0
1702,line_Ice_02,0,0,0,,,9冰鱼,12.25,1,0
1703,line_Ice_03,0,0,0,,,9冰鱼,15.29,1,0
1704,line_Ice_04,0,0,0,,,9冰鱼,12,1,0
1705,line_Ice_05,0,0,0,,,9冰鱼,14.11,1,0
1706,line_Ice_06,0,0,0,,,9冰鱼,13.34,1,0
1707,line_Ice_07,0,0,0,,,9冰鱼,12.09,1,0
1708,line_Ice_08,0,0,0,,,9冰鱼,12.25,1,0
1801,line_Turtle_01,0,0,0,,,5海龟,22.44,1,0
1802,line_Turtle_02,0,0,0,,,5海龟,19.2,1,0
1803,line_Turtle_03,0,0,0,,,5海龟,24,1,0
1804,line_Turtle_04,0,0,0,,,5海龟,19.12,1,0
1805,line_Turtle_05,0,0,0,,,5海龟,18.16,1,0
1806,line_Turtle_06,0,0,0,,,5海龟,19.33,1,0
1901,line_Jian_01,0,0,0,,,10剑鱼,20.69,1,0
1902,line_Jian_02,0,0,0,,,10剑鱼,21.81,1,0
1903,line_Jian_03,0,0,0,,,10剑鱼,23.08,1,0
1904,line_Jian_04,0,0,0,,,10剑鱼,20.58,1,0
1905,line_Jian_05,0,0,0,,,10剑鱼,20.49,1,0
1906,line_Jian_06,0,0,0,,,10剑鱼,21.31,1,0
2101,line_bianfu_01,0,0,0,,,11蝙蝠鱼,20.14,1,0
2102,line_bianfu_02,0,0,0,,,11蝙蝠鱼,40.05,1,0
2103,line_bianfu_03,0,0,0,,,11蝙蝠鱼,39.81,1,0
2104,line_bianfu_04,0,0,0,,,11蝙蝠鱼,22.33,1,0
2105,line_bianfu_05,0,0,0,,,11蝙蝠鱼,19.94,1,0
2106,line_bianfu_06,0,0,0,,,11蝙蝠鱼,34.63,1,0
2107,line_bianfu_07,0,0,0,,,11蝙蝠鱼,19.36,1,0
2108,line_bianfu_08,0,0,0,,,11蝙蝠鱼,21.79,1,0
2109,line_bianfu_09,0,0,0,,,11蝙蝠鱼,22.29,1,0
2110,line_bianfu_10,0,0,0,,,11蝙蝠鱼,38.9,1,0
2201,line_ChuiTou_01,0,0,0,,,蓝鲨鱼,50.43,1,0
2202,line_ChuiTou_02,0,0,0,,,蓝鲨鱼,29.41,1,0
2203,line_ChuiTou_03,0,0,0,,,蓝鲨鱼,17.27,1,0
2204,line_ChuiTou_04,0,0,0,,,蓝鲨鱼,19.6,1,0
2205,line_ChuiTou_05,0,0,0,,,蓝鲨鱼,29.48,1,0
2301,line_ChuiTou_01,0,0,0,,,锤头鲨,67.25,1,0
2302,line_ChuiTou_02,0,0,0,,,锤头鲨,39.21,1,0
2303,line_ChuiTou_03,0,0,0,,,锤头鲨,23.03,1,0
2304,line_ChuiTou_04,0,0,0,,,锤头鲨,26.13,1,0
2305,line_ChuiTou_05,0,0,0,,,锤头鲨,39.3,1,0
2401,line_pen_01,0,0,0,,,聚宝盆,117,1,0
8101,Group_01_01,0,0,0,,,鱼群1上下波纹,24,10,1
8102,Group_01_02,0,0,0,,,鱼群1上下波纹,24,10,1
8103,Group_01_01,0,0,0,,,鱼群1上下波纹,24,1,
8104,Group_01_02,0,0,0,,,鱼群1上下波纹,24,1,
8105,Group_01_01,0,0,0,,,鱼群1上下波纹,24,10,1
8106,Group_01_02,0,0,0,,,鱼群1上下波纹,24,10,1
8107,Group_01_01,0,0,0,,,鱼群1上下波纹,24,10,1
8108,Group_01_02,0,0,0,,,鱼群1上下波纹,24,9,1
8109,Group_01_02,0,0,0,,,鱼群1上下波纹,24,1,
8110,Group_01_01,0,0,0,,,鱼群1上下波纹,24,10,1
8111,Group_01_02,0,0,0,,,鱼群1上下波纹,24,10,1
8112,Group_01_01,0,0,0,,,鱼群1上下波纹,24,1,
8113,Group_01_02,0,0,0,,,鱼群1上下波纹,24,1,
8114,Group_01_01,0,0,0,,,鱼群1上下波纹,24,9,1
8115,Group_01_02,0,0,0,,,鱼群1上下波纹,24,10,1
8116,Group_01_01,0,0,0,,,鱼群1上下波纹,24,1,
8117,Group_01_01,0,0,0,,,鱼群1上下波纹,24,10,1
8118,Group_01_02,0,0,0,,,鱼群1上下波纹,24,10,1
8201,Group_02_01,0,0,0,,,鱼群2方阵列1,21.35,1,0
8202,Group_02_01,0,0,0,0|0|0@0|10|0@0|-10|0@0|20|0@0|-20|0,,鱼群2方阵列1,21.35,5,0
8203,Group_02_01,0,0,0,0|0|10@0|10|10@0|-10|10@0|20|10@0|-20|10,,鱼群2方阵列2,21.35,5,0
8204,Group_02_01,0,0,0,0|0|20@0|10|20@0|-10|20@0|20|20@0|-20|20,,鱼群2方阵列3,21.35,5,0
8205,Group_02_01,0,0,0,0|0|-10@0|10|-10@0|-10|-10@0|20|-10@0|-20|-10,,鱼群2方阵列4,21.35,5,0
8206,Group_02_01,0,0,0,0|0|-20@0|10|-20@0|-10|-20@0|20|-20@0|-20|-20,,鱼群2方阵列5,21.35,5,0
8207,Group_02_01,0,0,0,,,鱼群2方阵列5,21.35,1,0
8208,Group_02_01,0,0,0,0|0|0@0|10|0@0|-10|0@0|20|0@0|-20|0,,鱼群2方阵列1,21.35,5,0
8209,Group_02_01,0,0,0,0|0|10@0|10|10@0|-10|10@0|20|10@0|-20|10,,鱼群2方阵列2,21.35,5,0
8210,Group_02_01,0,0,0,0|0|20@0|10|20@0|-10|20@0|20|20@0|-20|20,,鱼群2方阵列3,21.35,5,0
8211,Group_02_01,0,0,0,0|0|-10@0|10|-10@0|-10|-10@0|20|-10@0|-20|-10,,鱼群2方阵列4,21.35,5,0
8212,Group_02_01,0,0,0,0|0|-20@0|10|-20@0|-10|-20@0|20|-20@0|-20|-20,,鱼群2方阵列5,21.35,5,0
8213,Group_02_01,0,0,0,0|0|0@0|10|0@0|-10|0,,鱼群2方阵列5,21.35,3,0
8214,Group_02_01,0,0,0,0|0|10@0|10|10@0|-10|10,,鱼群2方阵列5,21.35,3,0
8215,Group_02_01,0,0,0,0|0|-10@0|10|-10@0|-10|-10,,鱼群2方阵列5,21.35,3,0
8216,Group_02_01,0,0,0,,,鱼群2方阵列1,21.35,1,0
8217,Group_02_01,0,0,0,0|10|0@0|-10|0@0|20|0@0|-20|0,,鱼群2方阵列1,21.35,4,0
8218,Group_02_01,0,0,0,0|0|10@0|10|10@0|-10|10@0|20|10@0|-20|10,,鱼群2方阵列2,21.35,5,0
8219,Group_02_01,0,0,0,0|0|20@0|10|20@0|-10|20@0|20|20@0|-20|20,,鱼群2方阵列3,21.35,5,0
8220,Group_02_01,0,0,0,0|0|-10@0|10|-10@0|-10|-10@0|20|-10@0|-20|-10,,鱼群2方阵列4,21.35,5,0
8221,Group_02_01,0,0,0,0|0|-20@0|10|-20@0|-10|-20@0|20|-20@0|-20|-20,,鱼群2方阵列5,21.35,5,0
8222,Group_02_01,0,0,0,,,鱼群2方阵列5,21.35,1,0
8223,Group_02_01,0,0,0,0|0|0@0|10|0@0|-10|0@0|20|0@0|-20|0,,鱼群2方阵列1,21.35,5,0
8224,Group_02_01,0,0,0,0|0|10@0|10|10@0|-10|10@0|20|10@0|-20|10,,鱼群2方阵列2,21.35,5,0
8225,Group_02_01,0,0,0,0|0|20@0|10|20@0|-10|20@0|20|20@0|-20|20,,鱼群2方阵列3,21.35,5,0
8226,Group_02_01,0,0,0,0|0|-10@0|10|-10@0|-10|-10@0|20|-10@0|-20|-10,,鱼群2方阵列4,21.35,5,0
8227,Group_02_01,0,0,0,0|0|-20@0|10|-20@0|-10|-20@0|20|-20@0|-20|-20,,鱼群2方阵列5,21.35,5,0
8228,Group_02_01,0,0,0,,,鱼群2方阵列1,21.35,1,0
8301,Group_03_01,0,0,0,,,鱼群3,19.75,8,1.5
8302,Group_03_02,0,0,0,,,鱼群3,18.8,8,1.5
8303,Group_03_03,0,0,0,,,鱼群3,17.91,2,1.5
8304,Group_03_04,0,0,0,,,鱼群3,17.36,8,1.5
8305,Group_03_05,0,0,0,,,鱼群3,16.3,8,1.5
8306,Group_03_03,0,0,0,,,鱼群3,17.91,1,0
8307,Group_03_03,0,0,0,,,鱼群3,17.91,2,1.5
8308,Group_03_03,0,0,0,,,鱼群3,17.91,1,0
8309,Group_03_03,0,0,0,,,鱼群3,17.91,2,1.5
8310,Group_03_01,0,0,0,,,鱼群3,19.75,8,1.5
8311,Group_03_02,0,0,0,,,鱼群3,18.8,8,1.5
8312,Group_03_03,0,0,0,,,鱼群3,17.91,2,1.5
8313,Group_03_04,0,0,0,,,鱼群3,17.36,8,1.5
8314,Group_03_05,0,0,0,,,鱼群3,16.3,8,1.5
8315,Group_03_03,0,0,0,,,鱼群3,17.91,1,0
8316,Group_03_03,0,0,0,,,鱼群3,17.91,2,1.5
8317,Group_03_03,0,0,0,,,鱼群3,17.91,1,0
8318,Group_03_03,0,0,0,,,鱼群3,17.91,2,1.5
8319,Group_03_01,0,0,0,,,鱼群3,19.75,8,1.5
8320,Group_03_02,0,0,0,,,鱼群3,18.8,8,1.5
8321,Group_03_03,0,0,0,,,鱼群3,17.91,8,1.5
8322,Group_03_04,0,0,0,,,鱼群3,17.36,8,1.5
8323,Group_03_05,0,0,0,,,鱼群3,16.3,8,1.5
8324,Group_03_01,0,0,0,,,鱼群3,19.75,8,1.5
8325,Group_03_02,0,0,0,,,鱼群3,18.8,8,1.5
8326,Group_03_03,0,0,0,,,鱼群3,17.91,8,1.5
8327,Group_03_04,0,0,0,,,鱼群3,17.36,8,1.5
8328,Group_03_05,0,0,0,,,鱼群3,16.3,8,1.5
8329,Group_03_01,0,0,0,,,鱼群3,19.75,8,1.5
8330,Group_03_02,0,0,0,,,鱼群3,18.8,8,1.5
8331,Group_03_03,0,0,0,,,鱼群3,17.91,2,1.5
8332,Group_03_04,0,0,0,,,鱼群3,17.36,8,1.5
8333,Group_03_05,0,0,0,,,鱼群3,16.3,8,1.5
8334,Group_03_03,0,0,0,,,鱼群3,17.91,1,0
8335,Group_03_03,0,0,0,,,鱼群3,17.91,2,1.5
8336,Group_03_03,0,0,0,,,鱼群3,17.91,1,0
8337,Group_03_03,0,0,0,,,鱼群3,17.91,2,1.5
8401,Group_04_01,0,0,0,,,鱼群4螺旋1,41.51,10,1
8402,Group_04_02,0,0,0,,,鱼群4直线穿插1,26.76,1,0
8403,Group_04_01,0,0,0,,,鱼群4螺旋1,41.51,10,1
8404,Group_04_01,0,0,0,,,鱼群4螺旋1,41.51,10,1
8405,Group_04_02,0,0,0,,,鱼群4直线穿插1,26.76,1,0
8406,Group_04_01,0,0,0,,,鱼群4螺旋1,41.51,10,1
8407,Group_04_02,0,0,0,,,鱼群4直线穿插1,26.76,1,0
8408,Group_04_01,0,0,0,,,鱼群4螺旋1,41.51,10,1
10001,line_huang_05,0,0,0,,,网1,29.2,1,0
10002,line_huang_07,0,0,0,,,网1,29.55,1,0
10101,line_xiao4_01,0,0,0,,,网2,26.36,1,0
10102,line_xiao4_04,0,0,0,,,网2,30.36,1,0
10201,line_bian_02,0,0,0,,,网3,26.54,1,0
10202,line_bian_07,0,0,0,,,网3,26.48,1,0
10301,line_bian_10,0,0,0,,,网4,31.85,1,0
10302,line_bian_14,0,0,0,,,网4,28.42,1,0
12001,line_hetun_01,0,0,0,0|0|0@-12|7|0@-12|-7|0,,铁1,29.39,3,0
12002,line_hetun_02,0,0,0,0|0|0@-12|7|0@-12|-7|0,,铁1,30.98,3,0
12003,line_hetun_03,0,0,0,0|0|0@-12|7|0@-12|-7|0,,铁1,30.6,3,0
12101,line_hetun_04,0,0,0,0|0|0@-12|7|0@-12|-7|0,,铁2,29.77,3,0
12102,line_hetun_05,0,0,0,0|0|0@-12|7|0@-12|-7|0,,铁2,30.46,3,0
12103,line_hetun_06,0,0,0,0|0|0@-12|7|0@-12|-7|0,,铁2,30.34,3,0
12201,line_hetun_07,0,0,0,0|0|0@-12|7|0@-12|-7|0,,铁3,30.3,3,0
12202,line_hetun_08,0,0,0,0|0|0@-12|7|0@-12|-7|0,,铁3,30,3,0
12203,line_hetun_09,0,0,0,0|0|0@-12|7|0@-12|-7|0,,铁3,32.25,3,0
14001,line_hetun_10,0,0,0,,,炸弹鱼,29.47,1,0
14002,line_hetun_11,0,0,0,,,炸弹鱼,42.6,1,0
14003,line_hetun_14,0,0,0,,,炸弹鱼,26.32,1,0
15001,line_Turtle_02,0,0,0,,,奖券鱼,32.01,1,0
15002,line_Turtle_03,0,0,0,,,奖券鱼,40.04,1,0
15003,line_Turtle_04,0,0,0,,,奖券鱼,31.86,1,0
16001,line_boss_01,0,0,0,,,boss1,70,1,0
16002,line_boss_02,0,0,0,,,boss1,45,1,0
16101,line_boss_01,0,0,0,,,boss2,74.66,1,0
16102,line_boss_02,0,0,0,,,boss2,58.96,1,0
16201,line_boss_03,0,0,0,,,boss章鱼,111.09,1,0
16202,line_boss_04,0,0,0,,,boss章鱼,106.89,1,0

