StartTime,PathID,FishID,IsArray,FishNum,Intervals,comment
176,20,9,0,1,,9冰鱼
1,29,11,0,1,,蝙蝠鱼
19,30,11,0,1,,蝙蝠鱼
37,31,11,0,1,,蝙蝠鱼
55,32,11,0,1,,蝙蝠鱼
73,33,11,0,1,,蝙蝠鱼
91,34,11,0,1,,蝙蝠鱼
109,35,11,0,1,,蝙蝠鱼
127,36,11,0,1,,蝙蝠鱼
145,37,11,0,1,,蝙蝠鱼
163,38,11,0,1,,蝙蝠鱼
15,39,13,0,1,,锤头鲨
50,40,13,0,1,,锤头鲨
75,41,13,0,1,,锤头鲨
100,42,13,0,1,,锤头鲨
125,43,13,0,1,,锤头鲨
150,41,13,0,1,,锤头鲨
175,42,13,0,1,,锤头鲨
1,44,3,0,1,,通用1
37,44,4,0,1,,通用1
73,44,6,0,1,,通用1
109,44,7,0,1,,通用1
145,44,8,0,1,,通用1
9,45,3,0,1,,通用2
45,45,4,0,1,,通用2
81,45,6,0,1,,通用2
117,45,7,0,1,,通用2
153,45,8,0,1,,通用2
17,46,3,0,1,,通用3
53,46,4,0,1,,通用3
89,46,6,0,1,,通用3
125,46,7,0,1,,通用3
161,46,8,0,1,,通用3
25,47,3,0,1,,通用4
61,47,4,0,1,,通用4
97,47,6,0,1,,通用4
133,47,7,0,1,,通用4
169,47,8,0,1,,通用4
33,48,3,0,1,,通用5
69,48,4,0,1,,通用5
105,48,6,0,1,,通用5
141,48,7,0,1,,通用5
177,48,8,0,1,,通用5
41,49,3,0,1,,通用6
77,49,4,0,1,,通用6
113,49,6,0,1,,通用6
149,49,7,0,1,,通用6
5,49,8,0,1,,通用6
49,50,3,0,1,,通用7
85,50,4,0,1,,通用7
121,50,6,0,1,,通用7
157,50,7,0,1,,通用7
13,50,8,0,1,,通用7
57,51,3,0,1,,通用8
93,51,4,0,1,,通用8
129,51,6,0,1,,通用8
165,51,7,0,1,,通用8
21,51,8,0,1,,通用8
1,52,10,0,1,,通用9
31,52,3,0,2,1,通用9
61,52,4,0,1,,通用9
91,52,6,0,2,1,通用9
121,52,7,0,1,,通用9
151,52,8,0,1,,通用9
46,53,10,0,1,,通用10
76,53,3,0,2,1,通用10
106,53,4,0,2,1,通用10
136,53,6,0,1,,通用10
166,53,7,0,1,,通用10
16,53,8,0,2,1,通用10
91,54,10,0,1,,通用11
121,54,3,0,2,1,通用11
151,54,4,0,1,,通用11
1,54,6,0,1,,通用11
31,54,7,0,1,,通用11
61,54,8,0,2,1,通用11
136,55,10,0,1,,通用12
166,55,3,0,1,,通用12
16,55,4,0,2,1,通用12
46,55,6,0,2,1,通用12
76,55,7,0,2,1,通用12
106,55,8,0,1,,通用12
1,56,2,0,3,,通用13
31,56,3,0,1,,通用13
61,56,4,0,2,,通用13
91,56,7,0,2,,通用13
121,56,8,0,4,,通用13
151,56,9,0,1,,通用13
46,57,2,0,2,,通用14
76,57,3,0,2,,通用14
106,57,4,0,1,,通用14
136,57,7,0,2,,通用14
166,57,8,0,3,,通用14
16,57,9,0,3,,通用14
91,58,2,0,4,,通用15
121,58,3,0,1,,通用15
151,58,4,0,2,,通用15
1,58,7,0,3,,通用15
31,58,8,0,1,,通用15
61,58,9,0,2,,通用15
136,59,2,0,1,,通用16
166,59,3,0,1,,通用16
16,59,4,0,2,,通用16
46,59,7,0,3,,通用16
76,59,8,0,2,,通用16
106,59,9,0,2,,通用16
4,44,6,0,3,,通用1
40,44,14,0,1,,通用1
76,44,15,0,1,,通用1
112,44,6,0,3,,通用1
148,44,15,0,1,,通用1
12,45,6,0,2,,通用2
48,45,14,0,1,,通用2
84,45,15,0,1,,通用2
120,45,6,0,2,,通用2
156,45,15,0,1,,通用2
20,46,6,0,2,,通用3
56,46,14,0,1,,通用3
92,46,15,0,1,,通用3
128,46,6,0,1,,通用3
164,46,15,0,1,,通用3
28,47,6,0,1,,通用4
64,47,14,0,1,,通用4
100,47,15,0,2,,通用4
136,47,6,0,1,,通用4
172,47,15,0,1,,通用4
36,48,6,0,1,,通用5
72,48,14,0,1,,通用5
108,48,15,0,3,,通用5
144,48,6,0,1,,通用5
180,48,15,0,1,,通用5
44,49,6,0,1,,通用6
80,49,14,0,1,,通用6
116,49,15,0,1,,通用6
152,49,6,0,2,,通用6
8,49,15,0,1,,通用6
52,50,6,0,2,,通用7
88,50,14,0,1,,通用7
124,50,15,0,1,,通用7
160,50,6,0,3,,通用7
16,50,15,0,1,,通用7
60,51,6,0,2,,通用8
96,51,14,0,1,,通用8
132,51,15,0,1,,通用8
168,51,6,0,2,,通用8
24,51,15,0,1,,通用8
4,52,6,0,4,,通用9
34,52,14,0,2,1,通用9
64,52,15,0,1,,通用9
94,52,6,0,2,1,通用9
124,52,15,0,1,,通用9
154,52,6,0,1,,通用9
49,53,14,0,1,,通用10
79,53,15,0,2,1,通用10
109,53,6,0,2,1,通用10
139,53,15,0,1,,通用10
169,53,6,0,1,,通用10
19,53,14,0,2,1,通用10
94,54,15,0,1,,通用11
124,54,6,0,2,1,通用11
154,54,15,0,1,,通用11
4,54,6,0,1,,通用11
34,54,14,0,1,,通用11
64,54,15,0,2,1,通用11
139,55,6,0,1,,通用12
169,55,15,0,1,,通用12
19,55,6,0,2,1,通用12
49,55,14,0,2,1,通用12
79,55,15,0,2,1,通用12
109,55,6,0,1,,通用12
4,56,15,0,3,,通用13
34,56,6,0,1,,通用13
64,56,14,0,2,,通用13
94,56,15,0,2,,通用13
124,56,6,0,4,,通用13
154,56,15,0,1,,通用13
49,57,6,0,2,,通用14
79,57,14,0,2,,通用14
109,57,15,0,1,,通用14
139,57,6,0,2,,通用14
169,57,15,0,3,,通用14
19,57,6,0,3,,通用14
94,58,14,0,4,,通用15
124,58,15,0,1,,通用15
154,58,6,0,2,,通用15
4,58,15,0,3,,通用15
34,58,6,0,1,,通用15
64,58,14,0,2,,通用15
139,59,15,0,1,,通用16
169,59,6,0,1,,通用16
19,59,15,0,2,,通用16
49,59,6,0,3,,通用16
79,59,14,0,2,,通用16
109,59,15,0,2,,通用16

